,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2451,60000,681.91,3,0,68,2,1.06,123.67,2004,0,0,0,0,1,0,0
2452,60000,376.99,3,0,69,1,1.77,122.0,2005,0,0,0,0,0,1,0
2453,60000,645.44,4,0,69,2,0.71,156.0,2001,0,1,0,0,0,0,0
2454,60000,414.79,3,0,70,1,3.83,122.0,2001,0,1,0,0,0,0,0
2455,60000,829.23,3,0,70,2,9.45,122.0,2001,0,1,0,0,0,0,0
2456,60000,560.15,3,0,70,2,2.47,122.0,2001,0,1,0,0,0,0,0
2457,60000,346.79,3,0,72,2,1.6,122.0,2004,0,0,0,0,1,0,0
2458,60000,416.35,3,0,76,1,3.83,122.0,2001,0,1,0,0,0,0,0
2459,60000,529.2,3,0,80,2,1.5,122.0,2003,0,0,0,1,0,0,0
2460,60000,215.8,3,0,80,3,3.78,122.0,2006,0,0,0,0,0,0,1
2461,60000,435.4,3,0,80,2,6.65,122.0,2001,0,1,0,0,0,0,0
2462,60000,576.41,3,1,86,3,4.33,122.06,2005,0,0,0,0,0,1,0
2463,60000,576.41,3,1,86,3,4.33,122.06,2005,0,0,0,0,0,1,0
2464,60000,126.97,3,0,90,1,10.56,153.55,2001,0,1,0,0,0,0,0
2465,60000,580.54,3,1,92,2,2.31,122.0,2005,0,0,0,0,0,1,0
2466,60000,681.91,3,1,110,2,1.06,123.67,2004,0,0,0,0,1,0,0
2467,60000,539.76,3,1,120,2,0.78,122.0,2005,0,0,0,0,0,1,0
2468,60000,539.76,3,1,120,2,0.78,122.0,2005,0,0,0,0,0,1,0
2469,60000,539.76,3,1,130,2,0.78,122.0,2005,0,0,0,0,0,1,0
2470,60000,147.1,3,0,134,1,4.44,122.0,2004,0,0,0,0,1,0,0
2471,60000,646.18,3,1,139,2,2.33,122.0,2005,0,0,0,0,0,1,0
2472,60000,324.41,3,1,150,2,2.51,70.31,2001,0,1,0,0,0,0,0
2473,60000,791.77,3,1,160,1,4.8,122.0,2001,0,1,0,0,0,0,0
2474,60000,181.17,3,1,160,3,4.1,122.0,2001,0,1,0,0,0,0,0
2475,60000,291.64,3,1,165,2,2.66,66.28,2001,0,1,0,0,0,0,0
2476,60000,298.11,3,1,185,2,3.03,122.0,2004,0,0,0,0,1,0,0
2477,62000,826.72,3,0,67,2,8.05,122.0,2003,0,0,0,1,0,0,0
2478,62000,246.71,4,1,84,3,0.17,142.86,2004,0,0,0,0,1,0,0
2479,62000,246.71,4,1,84,3,0.17,142.86,2004,0,0,0,0,1,0,0
2480,62000,721.84,3,1,120,3,2.28,122.0,2003,0,0,0,1,0,0,0
2481,62000,364.66,3,0,120,2,3.89,122.0,2001,0,1,0,0,0,0,0
2482,62000,520.87,3,1,220,3,5.8,122.0,2004,0,0,0,0,1,0,0
2483,62832,276.73,4,0,74,2,0.17,135.4,2004,0,0,0,0,1,0,0
2484,63000,551.84,3,0,66,2,3.11,130.14,2003,0,0,0,1,0,0,0
2485,63000,554.44,3,0,72,2,4.89,122.0,2003,0,0,0,1,0,0,0
2486,63000,551.84,3,0,92,2,3.11,130.14,2004,0,0,0,0,1,0,0
2487,63000,483.47,3,0,110,2,4.4,134.44,2002,0,0,1,0,0,0,0
2488,63253,431.85,4,0,67,1,5.18,122.0,2003,0,0,0,1,0,0,0
2489,64284,450.82,4,0,67,2,4.88,135.71,2003,0,0,0,1,0,0,0
2490,64900,201.1,3,0,57,2,3.92,122.0,2005,0,0,0,0,0,1,0
2491,65000,513.75,3,0,53,2,9.13,156.0,2006,0,0,0,0,0,0,1
2492,65000,513.75,3,0,55,2,9.13,156.0,2006,0,0,0,0,0,0,1
2493,65000,675.04,3,0,55,2,5.91,156.0,2006,0,0,0,0,0,0,1
2494,65000,836.11,3,0,65,1,5.16,122.0,2004,0,0,0,0,1,0,0
2495,65000,387.71,3,0,68,2,5.6,122.0,2002,0,0,1,0,0,0,0
2496,65000,33.22,3,0,69,2,2.63,122.0,2001,0,1,0,0,0,0,0
2497,65000,905.26,3,0,70,2,3.28,122.0,2003,0,0,0,1,0,0,0
2498,65000,554.96,3,0,70,2,3.05,129.97,2001,0,1,0,0,0,0,0
2499,65000,445.19,3,0,72,2,2.52,122.0,2001,0,1,0,0,0,0,0
2500,65000,276.73,3,0,76,2,0.17,135.4,2004,0,0,0,0,1,0,0
2501,65000,885.38,3,0,77,2,9.07,122.0,2005,0,0,0,0,0,1,0
2502,65000,435.4,3,0,81,1,6.65,122.0,2001,0,1,0,0,0,0,0
2503,65000,435.4,3,0,82,2,6.65,122.0,2001,0,1,0,0,0,0,0
2504,65000,881.59,3,0,84,1,3.24,122.0,2006,0,0,0,0,0,0,1
2505,65000,915.16,3,0,92,2,2.06,122.0,2004,0,0,0,0,1,0,0
